"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"75";"HST11";"committee-papers-2.pdf";"portfoliodocument";"85";"managed access";"1";"Section F - Managed Access Arrangements (please see sections 55-59 of the HST methods guide on MAAs)..................................................................... 262 15     Managed Access Arrangement .......................................................... 262 16     References ......................................................................................... 264 17     Appendices ........................................................................................ 278"
"76";"HST11";"committee-papers-2.pdf";"portfoliodocument";"93";"managed access";"1";" LYG                Life years gained  MA                 Marketing authorisation  MAA                Managed Access Arrangement  MDT                Multidisciplinary team  mITT               Modified intention-to-treat"
"81";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=13";"13";"compassionate";"0";"      – proxy of young adult with a severe brain injury is inappropriate • Emotional strain of CLN2 can have an adverse effect on relationships • There have been further CLN2 diagnoses since compassionate use places were   filled, meaning there are patients not receiving treatment and will lose many of   their current abilities at a rapid rate"
"84";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=13";"13";"managed access";"0";"• Helpless feeling knowing there is an effective treatment which is essential to   maintaining the quality of life of children and families which cannot be accessed • Managed Access Agreement will address lack of long term clinical data             13"
"82";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=14";"14";"expanded access";"0";"• MRI scans find no deterioration of the brain after 1 year of enzyme replacement • No evidence of any cardiac structural or rhythm abnormalities identified in the trial or   in the expanded access program • ‘[decision] not surprising given the health economic evaluation, anticipated cost of   the technology and NICE criteria. We have an ethical duty to continue their [children"
"85";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=18";"18";"managed access";"0";"consideration: • 2 scenarios incorporating alternative assumptions • A managed access agreement proposal • A commercial offer – commercial in confidence to be discussed in part 2                                                                          18"
"86";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=24";"24";"managed access";"0";"           Managed access agreement (I)                                Start criteria • All required"
"87";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=25";"25";"managed access";"0";"           Managed access agreement (II)                                  Stopping criteria • Patients aged under 3 excluded from stopping criteria as natural decline in"
"88";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=26";"26";"managed access";"0";"        Managed access agreement (III)                             Stopping criteria • Stop criteria for patients currently on treatment"
"89";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=27";"27";"managed access";"0";"                          ERG comment          Managed access agreement: stopping rule • Stopping rule described is unlikely to apply to many (if any) patients      – would require patients to experience a rate of decline equivalent to"
"90";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=28";"28";"managed access";"0";"• Does the committee consider that the MAA proposals will result in   data collection to address current uncertainties? • Are the start and stop criteria in the proposed managed access   agreement appropriate?      –Have all stakeholders been involved in agreeing the criteria?"
"91";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=32";"32";"managed access";"0";" • April 2018: 2nd Evaluation Committee meeting  Committee considered comments received during consultation, draft  managed access agreement (MAA) and a new commercial offer  proposed by the company    <U+F0D8> Cerliponase was not recommended"
"92";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=37";"37";"managed access";"0";"               the age of 18 appropriate                Carer and sibling disutility should be stopped after 30 years Managed access MAA would be welcomed, but the proposed agreement required agreement      refinement to ensure it is fit for purpose                                                                                     9"
"93";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=42";"42";"managed access";"0";"Managed access agreement                          14"
"94";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=43";"43";"managed access";"0";"Recap - Managed access agreement (I) Note: The Managed Access Agreement will only be implemented if the commercial agreement is considered sufficient by NHS England and Committee"
"95";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=43";"43";"managed access";"0";"Recap - Managed access agreement (I) Note: The Managed Access Agreement will only be implemented if the commercial agreement is considered sufficient by NHS England and Committee Start criteria"
"96";"HST12";"1-2.pdf";"https://www.nice.org.uk/guidance/HST12/documents/1-2#page=44";"44";"managed access";"0";"Recap - Managed access agreement (II) Stopping criteria  • Patients aged under 3 excluded from stopping criteria as natural decline in functional"
